id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11
0,1451,1456,1574,1604,1670,1838,1842,2032,2189,2223,2256,2369
1,1073,1469,1484,1897,4221,4394,4448,4816,5162,5347,6114,6592
2,3712,3919,3932,4042,4103,4117,4334,4436,4762,4807,5042,5916
3,2270,2433,2436,2568,2645,2784,2896,3210,3245,3442,3479,3615
4,4785,9785,10502,12584,14006,15002,15562,17633,18979,19239,19334,20726
5,2082,2664,2940,3201,3303,3475,3794,3809,3960,4690,6105,7761
6,2476,3885,4010,4170,4405,4487,4563,4932,5098,6810,7472,7767
7,5020,9370,9412,10548,10883,11216,11503,13744,13834,15127,17099,17769
8,5833,6738,7634,8009,9006,9208,9647,10073,10359,10911,11226,12184
9,8997,9114,10252,10310,10628,11682,14798,21270,21559,24573,24573,24573
10,10690,12713,15360,16201,16888,17938,18721,18775,19470,19831,21357,21432
11,10110,10630,11648,13529,13709,14082,14096,14916,15187,15937,16281,16601
12,4050,6873,7395,7759,7933,8039,8080,8492,8942,9121,9491,17886
13,5731,6073,6182,7022,7270,7532,8087,8995,11474,14493,14891,20901
14,4355,5709,6365,6631,7241,7392,10621,11722,13406,13543,15089,21742
15,594,1081,1136,1384,1413,1646,1726,2322,3465,4491,6866,8394
16,1335,1403,1434,1600,1649,1933,3994,5947,9747,16785,17251,24573
17,3960,4214,4391,4716,5862,6142,6346,6355,7113,8405,14612,24573
18,2867,3071,3105,3129,3295,3411,3490,3567,3575,3783,3971,4968
19,8159,10512,12026,12478,12777,16649,17639,18435,18748,18879,20677,20912
20,2304,2433,2439,2533,2579,2928,2931,2941,3151,3446,3529,3845
21,5859,6643,7600,7812,9031,10670,11197,12315,12381,12664,14262,14593
22,5885,6336,12329,14108,16208,16500,16654,18715,18949,19257,20005,24573
23,8301,11401,12123,15139,15325,15389,15480,16246,16343,17386,18228,19995
24,4950,5412,5516,5594,5810,6198,6230,6285,6837,7213,8599,10403
25,7403,8035,11921,12048,12553,13222,13300,14632,15951,17347,17934,19224
26,3861,3898,4624,5876,6266,6745,7236,7399,10139,10564,11449,11942
27,3353,3605,3687,3902,3905,4493,5513,5726,6327,6461,6536,7279
28,7994,12255,12438,14783,15174,16325,17244,17545,18303,21940,22562,24573
29,13095,14043,14094,14991,15838,16192,16224,17560,17863,18002,18584,18930
30,993,1109,1236,1575,1850,2014,2083,2136,2300,2659,2690,2800
31,8295,8538,8847,9675,9889,10353,11502,11787,12250,12481,12590,15475
32,2527,2957,3151,3512,3533,3824,4076,4523,4666,6943,8711,10171
33,3756,4608,4635,4755,5150,5178,5507,5865,6029,6456,6943,7243
34,6537,6599,6958,7162,7315,8404,8448,10865,12277,12914,14851,14917
35,2546,2901,3119,3157,3251,3555,3622,3713,3763,3786,3818,4036
36,5433,6082,6566,7227,7744,8565,9614,10960,11966,11993,12873,16061
37,2763,3104,3160,3423,3425,3428,3479,3592,3657,4332,8387,9041
38,9605,9910,11946,12160,13381,15016,15859,16065,19091,20724,22987,24573
39,12115,12573,12599,13491,14578,15437,15787,16458,16770,16937,17101,24572
40,16815,19806,20147,21029,21771,24492,24573,24573,24573,24573,24573,24573
41,9422,9592,10343,12729,12887,15155,15782,18621,18692,21008,23549,24573
42,12601,12905,12958,14189,15303,17511,18554,18563,18754,21776,22199,24573
43,15298,16254,17395,17457,19374,19719,20358,21327,22218,23056,24573,24573
44,7773,9579,11312,12210,13176,13210,15618,16048,18868,19028,19941,21378
45,2820,2902,2955,3020,3045,3128,3167,3628,3709,3856,3993,4348
46,2031,2205,2298,2319,2498,2542,2808,2909,3242,3277,3388,3516
47,10393,11680,12182,13434,14489,14726,16206,17838,19393,21163,21327,22376
48,3007,3517,3679,3800,3918,4245,4432,4793,5170,5208,5475,5637
49,11344,13436,13890,14785,14799,17063,18133,19187,19723,20084,20669,20712
50,7564,8002,8611,8909,9236,9491,10735,11010,11742,24488,24573,24573
51,5021,5649,5854,6978,7411,7776,7907,8267,8606,8957,10093,10124
52,8739,9134,9454,9504,10087,10177,10429,10611,10823,11279,13402,24209
53,4307,4768,5246,6044,6384,6454,6970,8078,8483,10420,10461,11526
54,5056,6036,6233,6400,7687,8092,9173,10205,11282,11467,16874,23688
55,3846,6884,9192,9858,10806,10863,11902,12265,16323,16406,17771,20191
56,6320,6715,7104,7841,8787,9604,9743,9984,12372,13086,14949,16586
57,15082,16426,16847,19042,21416,24108,24406,24422,24573,24573,24573,24573
58,7969,8157,9672,9961,10871,11597,12425,14248,17221,17749,18824,22315
59,10293,16353,16959,17383,18003,19177,19257,21056,21935,23944,24573,24573
