id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11
0,204,204,204.0,204.0,204.0,204.0,,27.0,204.0,204.0,204.0,204.0,204.0,204.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,104.0,104.0,,,,,107.0,104.0,107.0,17.0,158.0
5,294,294,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,197,197.0,2929.0,2929.0,15625.0,197.0,8603.0,5297.0,2025.0,197.0,2026.0,2025.0,35.0
8,480,480,480.0,80.0,480.0,480.0,384.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
9,113,113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,568.0,113.0,,
10,371,365,9.0,385.0,119.0,419.0,365.0,9.0,5.0,365.0,355.0,337.0,365.0,273.0
11,385,24,16.0,24.0,12.0,24.0,48.0,144.0,16.0,8.0,16.0,24.0,24.0,48.0
12,110,110,134.0,110.0,155.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
13,104,104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,236.0,104.0,236.0,47.0,
14,721,721,721.0,721.0,721.0,721.0,1467.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0
15,73,73,229.0,229.0,,112.0,250.0,,73.0,73.0,73.0,73.0,73.0,73.0
16,236,236,349.0,246.0,135.0,228.0,212.0,280.0,257.0,242.0,236.0,301.0,236.0,236.0
17,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,9.0,45.0,9.0,45.0,
18,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
19,80,80,100.0,80.0,40.0,80.0,20.0,80.0,80.0,100.0,60.0,80.0,100.0,120.0
20,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
21,699,699,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0
22,127,127,20.0,1.0,127.0,25.0,58.0,13.0,2.0,40.0,17.0,0.0,,
23,902,2,2.0,62.0,1024.0,2.0,2.0,18.0,59048.0,1024.0,902.0,504.0,36.0,62.0
24,468,468,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,,
25,601,601,7.0,7.0,7.0,601.0,13.0,601.0,207.0,601.0,601.0,1201.0,601.0,121.0
26,23,23,23.0,19.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
27,321,321,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,321.0,600.0
28,211,211,211.0,2311.0,211.0,211.0,211.0,211.0,361.0,121.0,1001.0,241.0,,
29,315,12,36.0,12.0,60.0,12.0,3.0,9.0,36.0,12.0,12.0,12.0,12.0,12.0
30,70,70,70.0,70.0,0.0,49.0,70.0,49.0,49.0,70.0,70.0,70.0,70.0,70.0
31,588,300,300.0,588.0,588.0,300.0,588.0,360.0,336.0,300.0,300.0,300.0,300.0,384.0
32,16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
33,117,117,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
34,279,279,279.0,279.0,279.0,423.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,2007.0
35,504,504,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0
36,821,247,12.0,239.0,239.0,247.0,701.0,37.0,239.0,247.0,247.0,821.0,247.0,247.0
37,77,77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
38,62,62,62.0,62.0,62.0,62.0,50.0,62.0,68.0,,,,,
39,81,62,95.0,62.0,83.0,53.0,56.0,58.0,96.0,68.0,62.0,53.0,48.0,60.0
40,259,138,4247.0,68.0,,22.0,138.0,,,,,,,0.0
41,510,510,510.0,510.0,510.0,510.0,1017.0,510.0,510.0,510.0,510.0,510.0,510.0,1015.0
42,204,79,,139.0,80.0,,78.0,129.0,79.0,,79.0,74.0,,
43,60,87,113.0,87.0,87.0,63.0,67.0,63.0,63.0,101.0,52.0,47.0,87.0,47.0
44,735,147,683.0,683.0,147.0,147.0,147.0,147.0,49.0,147.0,545.0,683.0,147.0,513.0
45,468,468,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0
46,49,49,49.0,93.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
47,82,82,82.0,52.0,82.0,82.0,90.0,90.0,82.0,15.0,60.0,6.0,16.0,90.0
48,106,106,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,993.0,106.0,106.0
49,336,360,336.0,336.0,180.0,336.0,342.0,336.0,360.0,180.0,360.0,180.0,360.0,360.0
50,293,293,293.0,293.0,293.0,293.0,293.0,293.0,73.0,73.0,149.0,83.0,,
51,237,237,237.0,237.0,237.0,237.0,237.0,57.0,60671.0,60671.0,60671.0,237.0,237.0,60671.0
52,610,610,600.0,610.0,610.0,610.0,440.0,600.0,922.0,600.0,600.0,800.0,610.0,610.0
53,149,149,149.0,149.0,150.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0
54,907,907,907.0,907.0,907.0,907.0,907.0,907.0,907.0,907.0,907.0,907.0,907.0,907.0
55,113,1,1.0,1.0,1.0,1.0,113.0,12.0,113.0,3.0,12.0,12.0,12.0,2.0
56,19,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,61.0,718.0,19.0,718.0
57,248,3,208.0,208.0,465.0,501.0,3.0,3.0,3.0,387.0,3.0,424.0,,
58,104,104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,91.0,121.0,104.0,196.0,
59,240,188,188.0,188.0,264.0,188.0,188.0,188.0,188.0,188.0,188.0,300.0,,188.0
